n_estimators,max_depth,min_samples_split,min_samples_leaf,accuracy,precision,recall,f1,preparationTime
100,7,10,1,0.8333333333333334,0.8193277310924371,0.8666666666666667,0.8405172413793104,0.714603382222251
200,7,10,1,0.8333333333333334,0.8193277310924371,0.8666666666666667,0.8405172413793104,0.714603419999993
300,7,10,1,0.8222222222222223,0.8156512605042017,0.8444444444444444,0.828420467185762,0.7146034588888546
50,7,2,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146034977777163
100,7,2,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146035366667396
200,7,2,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146035733333621
300,7,2,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146036099999845
50,7,5,2,0.8666666666666667,0.8657407407407408,0.888888888888889,0.8732253409672763,0.7146036477777267
100,7,5,2,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146036866665882
200,7,5,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146037277778508
300,7,5,2,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146037633333536
50,7,10,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146037988888565
100,7,10,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146038366665987
200,7,10,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146038733333828
300,7,10,2,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146039100000052
50,7,2,4,0.8555555555555556,0.8389550264550265,0.888888888888889,0.8610689767530703,0.7146039466666277
100,7,2,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146039833332503
200,7,2,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.714604021111154
300,7,2,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146040577777765
50,7,5,4,0.8555555555555556,0.8389550264550265,0.888888888888889,0.8610689767530703,0.7146040977777577
100,7,5,4,0.8333333333333334,0.8095238095238096,0.888888888888889,0.8443051201671891,0.7146041344443802
200,7,5,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146041711111644
300,7,5,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146042100000259
50,7,10,4,0.8666666666666667,0.8277505446623094,0.9333333333333332,0.8768735744542197,0.7146042477777681
100,7,10,4,0.8555555555555556,0.8263616557734205,0.9111111111111111,0.8654040404040404,0.7146042866666297
200,7,10,4,0.8222222222222223,0.8051665110488639,0.8666666666666667,0.8323101706722396,0.7146043233332522
300,7,10,4,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146043600000364
50,10,2,1,0.8222222222222223,0.8144257703081234,0.8444444444444444,0.8277484241750092,0.7146044011111371
100,10,2,1,0.8333333333333334,0.8394607843137255,0.8444444444444444,0.8390937019969278,0.7146044399999988
200,10,2,1,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146044777777408
300,10,2,1,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146045133334055
50,10,5,1,0.8666666666666667,0.8771241830065359,0.8666666666666667,0.8692460317460317,0.7146045511111475
100,10,5,1,0.8333333333333334,0.8394607843137255,0.8444444444444444,0.8390937019969278,0.7146045877777699
200,10,5,1,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146046244443924
300,10,5,1,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146046611111766
50,10,10,1,0.8444444444444444,0.8070533769063181,0.9111111111111111,0.8554089279895732,0.7146046988889186
100,10,10,1,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146047377777803
200,10,10,1,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146047788888811
300,10,10,1,0.8444444444444444,0.8431372549019608,0.8666666666666667,0.8511904761904763,0.7146048155555036
50,10,2,2,0.8444444444444444,0.862962962962963,0.8444444444444444,0.8478114478114479,0.7146048522222878
100,10,2,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146048888889103
200,10,2,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146049266666523
300,10,2,2,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146049633332748
50,10,5,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.714605000000059
100,10,5,2,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.714605037777801
200,10,5,2,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146050744444236
300,10,5,2,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146051111110461
50,10,10,2,0.8333333333333334,0.8095238095238096,0.888888888888889,0.8443051201671891,0.7146051477778302
100,10,10,2,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146051844444526
200,10,10,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146052222221948
300,10,10,2,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146052577776977
50,10,2,4,0.8555555555555556,0.828042328042328,0.9111111111111111,0.8645071403692093,0.7146052944444818
100,10,2,4,0.8555555555555556,0.8240740740740741,0.9111111111111111,0.8647768002606714,0.7146053322222239
200,10,2,4,0.8444444444444444,0.8226851851851852,0.888888888888889,0.8533072662104919,0.7146053733333246
300,10,2,4,0.8555555555555556,0.8240740740740741,0.9111111111111111,0.8647768002606714,0.7146054088888276
50,10,5,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.714605447777851
100,10,5,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146054844444734
200,10,5,4,0.8666666666666667,0.8277505446623094,0.9333333333333332,0.8768735744542197,0.7146055211110959
300,10,5,4,0.8333333333333334,0.8095238095238096,0.888888888888889,0.8443051201671891,0.7146055577777184
50,10,10,4,0.8333333333333334,0.8095238095238096,0.888888888888889,0.8443051201671891,0.7146055944445026
100,10,10,4,0.8555555555555556,0.8263616557734205,0.9111111111111111,0.8654040404040404,0.7146056344444838
200,10,10,4,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146056722222258
300,10,10,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146057088888483
50,None,2,1,0.8333333333333334,0.8575163398692811,0.8222222222222223,0.8351851851851851,0.7146057455554709
100,None,2,1,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146057855556137
200,None,2,1,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146058233333558
300,None,2,1,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146058599999783
50,None,5,1,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146058966666007
100,None,5,1,0.8333333333333334,0.8394607843137255,0.8444444444444444,0.8390937019969278,0.714605933333385
200,None,5,1,0.8333333333333334,0.8394607843137255,0.8444444444444444,0.8390937019969278,0.7146059700000074
300,None,5,1,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146060099999886
50,None,10,1,0.8444444444444444,0.8333333333333334,0.888888888888889,0.8549783549783548,0.7146060466666111
100,None,10,1,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146060855554727
200,None,10,1,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146069666666638
300,None,10,1,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146070155556016
50,None,2,2,0.8666666666666667,0.851851851851852,0.9111111111111111,0.8751803751803751,0.7146070544444633
100,None,2,2,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146070922222053
200,None,2,2,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146071299999474
300,None,2,2,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146071666667315
50,None,5,2,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146072022222345
100,None,5,2,0.8555555555555556,0.8485838779956426,0.888888888888889,0.8638167388167388,0.7146072433333353
200,None,5,2,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146072811110773
300,None,5,2,0.8444444444444444,0.8449074074074074,0.8666666666666667,0.8517199646231903,0.7146073188888193
50,None,10,2,0.8222222222222223,0.8156512605042017,0.8444444444444444,0.828420467185762,0.7146073566667231
100,None,10,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146073944444652
200,None,10,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146074322222072
300,None,10,2,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146074699999493
50,None,2,4,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146075055556139
100,None,2,4,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146075455555951
200,None,2,4,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146075833333372
300,None,2,4,0.8333333333333334,0.8095238095238096,0.888888888888889,0.8443051201671891,0.7146076222221988
50,None,5,4,0.8777777777777778,0.8485838779956426,0.9333333333333332,0.8876262626262627,0.7146076588888213
100,None,5,4,0.8222222222222223,0.8051665110488639,0.8666666666666667,0.8323101706722396,0.7146076955556054
200,None,5,4,0.8444444444444444,0.8081427015250545,0.9111111111111111,0.8560402411208864,0.7146077333333475
300,None,5,4,0.8666666666666667,0.8277505446623094,0.9333333333333332,0.8768735744542197,0.7146077733333287
50,None,10,4,0.8333333333333334,0.8210978835978836,0.8666666666666667,0.8410467298120246,0.7146078144444294
100,None,10,4,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146078855555971
200,None,10,4,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.714607928888937
300,None,10,4,0.8444444444444444,0.8247743541861189,0.888888888888889,0.8531435040055729,0.7146079644444399
