pca_n_components,criterion,max_depth,min_samples_split,min_samples_leaf,max_features,accuracy,precision,recall,f1,mcc,preparationTime
64,gini,None,2,5,None,nan,nan,nan,nan,nan,1.026389004444031
50,gini,None,5,5,None,0.6,0.626984126984127,0.5333333333333333,0.5721072796934866,0.2056893028921963,1.0263890466665746
57,gini,None,5,5,None,0.6666666666666666,0.7138528138528139,0.5555555555555555,0.6216799292661362,0.34319726909209763,1.026389113333102
64,gini,None,5,5,None,nan,nan,nan,nan,nan,1.026389184444108
50,gini,None,10,5,None,0.6,0.626984126984127,0.5333333333333333,0.5721072796934866,0.2056893028921963,1.0263892266666517
57,gini,None,10,5,None,0.6,0.6252747252747253,0.5111111111111111,0.559408866995074,0.2054890986478748,1.026389296666538
64,gini,None,10,5,None,nan,nan,nan,nan,nan,1.0263893633330654
50,gini,None,2,10,None,0.6555555555555556,0.704970760233918,0.5777777777777778,0.5850017199862401,0.336213344579296,1.026389405555609
57,gini,None,2,10,None,0.6444444444444444,0.7027777777777778,0.5333333333333333,0.5647613657800415,0.3100146812390917,1.026389476666615
64,gini,None,2,10,None,nan,nan,nan,nan,nan,1.0263895488887405
50,gini,None,5,10,None,0.6444444444444444,0.6344579397210977,0.6666666666666666,0.64640522875817,0.2932637259997784,1.0263895911112841
57,gini,None,5,10,None,0.6444444444444444,0.7027777777777778,0.5333333333333333,0.5647613657800415,0.3100146812390917,1.02638966222229
64,gini,None,5,10,None,nan,nan,nan,nan,nan,1.0263897366666546
50,gini,None,10,10,None,0.6555555555555556,0.704970760233918,0.5777777777777778,0.5850017199862401,0.336213344579296,1.026389777777432
57,gini,None,10,10,None,0.6333333333333333,0.6322649572649572,0.6222222222222222,0.6261648745519713,0.2670650626595741,1.0263898511113236
64,gini,None,10,10,None,nan,nan,nan,nan,nan,1.02638992111121
50,gini,None,2,1,sqrt,0.5777777777777777,0.6017094017094017,0.4666666666666666,0.5241975308641975,0.1602847208709498,1.0263899622219874
57,gini,None,2,1,sqrt,0.6444444444444445,0.7027777777777778,0.5111111111111111,0.5806763285024155,0.3063112278444374,1.0263900322218735
64,gini,None,2,1,sqrt,nan,nan,nan,nan,nan,1.026390101111287
50,gini,None,5,1,sqrt,0.6222222222222222,0.6156015037593985,0.6666666666666666,0.6376365896748021,0.24734560766155708,1.0263901433331841
57,gini,None,5,1,sqrt,0.5444444444444444,0.5370370370370371,0.5333333333333333,0.5317460317460317,0.09072184232530289,1.0263902155553095
64,gini,None,5,1,sqrt,nan,nan,nan,nan,nan,1.026390289999674
50,gini,None,10,1,sqrt,0.6555555555555556,0.6459739091318039,0.7111111111111111,0.6723962312197607,0.31736634220728055,1.026390334444457
57,gini,None,10,1,sqrt,0.611111111111111,0.6102564102564102,0.6222222222222222,0.6095238095238096,0.22881546295746882,1.0263904066665823
64,gini,None,10,1,sqrt,nan,nan,nan,nan,nan,1.0263904788887077
50,gini,None,2,2,sqrt,0.7222222222222222,0.7092592592592593,0.7111111111111112,0.700892798957315,0.45211921916731,1.0263905233334905
57,gini,None,2,2,sqrt,0.5777777777777777,0.6035353535353535,0.48888888888888893,0.5388872515309298,0.16064666514033055,1.0263905966667355
64,gini,None,2,2,sqrt,nan,nan,nan,nan,nan,1.0263906699999805
50,gini,None,5,2,sqrt,0.5777777777777778,0.6388888888888888,0.4222222222222222,0.5014992503748126,0.173243078271252,1.026390713332997
57,gini,None,5,2,sqrt,0.6555555555555556,0.6551226551226551,0.6666666666666666,0.6482955103644759,0.32955431003552166,1.02639078333353
64,gini,None,5,2,sqrt,nan,nan,nan,nan,nan,1.026390854444536
50,gini,None,10,2,sqrt,0.6555555555555556,0.6581196581196581,0.6444444444444444,0.6471861471861472,0.31546217522030434,1.0263908977775524
57,gini,None,10,2,sqrt,0.5444444444444444,0.48280423280423285,0.4444444444444444,0.4440044730425856,0.0690759567540649,1.0263909733330365
64,gini,None,10,2,sqrt,nan,nan,nan,nan,nan,1.026391047777401
50,gini,None,2,5,sqrt,0.5666666666666665,0.5739064856711916,0.48888888888888893,0.5177277432712216,0.1345345587992625,1.0263910899999449
57,gini,None,2,5,sqrt,0.5444444444444444,0.5666666666666668,0.3555555555555556,0.4359420289855072,0.09428090415820634,1.0263911611109506
64,gini,None,2,5,sqrt,nan,nan,nan,nan,nan,1.0263912322219564
50,gini,None,5,5,sqrt,0.6,0.6427350427350428,0.48888888888888893,0.553721340388007,0.20972077209606865,1.0263912733333806
57,gini,None,5,5,sqrt,0.5666666666666667,0.5748663101604278,0.4888888888888889,0.5211538461538461,0.13643872578623872,1.0263913466666257
64,gini,None,5,5,sqrt,nan,nan,nan,nan,nan,1.0263914166665118
50,gini,None,10,5,sqrt,0.6444444444444444,0.6641025641025641,0.6444444444444444,0.646031746031746,0.2953353478997763,1.026391457777936
