pca_n_components,n_neighbors,metric,weights,accuracy,precision,recall,f1,mcc,preparationTime
57,15,cosine,distance,0.7111111111111111,0.8666666666666667,0.5111111111111112,0.6229629629629629,0.4683771775549978,0.06327496444444275
64,15,cosine,distance,nan,nan,nan,nan,nan,0.0632750311109703
50,20,cosine,uniform,0.6777777777777777,0.7835497835497836,0.4888888888888889,0.5976689976689977,0.38368474740603337,0.06327506999983193
57,20,cosine,uniform,0.688888888888889,0.8047619047619047,0.4888888888888889,0.6048484848484849,0.40879420517763226,0.06327513777780243
64,20,cosine,uniform,nan,nan,nan,nan,nan,0.06327520777768869
50,20,cosine,distance,0.7555555555555555,0.9,0.5777777777777778,0.6866666666666666,0.5524391148899417,0.06327524888878946
57,20,cosine,distance,0.7555555555555555,0.9,0.5777777777777778,0.6866666666666666,0.5524391148899417,0.06327531444452082
64,20,cosine,distance,nan,nan,nan,nan,nan,0.06327537888880923
50,3,euclidean,uniform,0.6555555555555556,0.7564102564102564,0.4666666666666666,0.5634920634920636,0.34080739312224817,0.06327542111102957
57,3,euclidean,uniform,0.6888888888888888,0.7841880341880342,0.5333333333333333,0.6190476190476191,0.4041508598648717,0.06327549555539412
64,3,euclidean,uniform,nan,nan,nan,nan,nan,0.06327556666672333
50,3,euclidean,distance,0.6777777777777777,0.7698412698412698,0.5111111111111111,0.6013584117032392,0.38226519239346385,0.06327560777782411
57,3,euclidean,distance,0.7111111111111111,0.7976190476190476,0.5777777777777778,0.6569139672587948,0.4456086591360873,0.0632756766665908
64,3,euclidean,distance,nan,nan,nan,nan,nan,0.06327574444423792
50,5,euclidean,uniform,0.6888888888888888,0.8308080808080809,0.4666666666666666,0.5890534586186761,0.4191292317968547,0.0632757844445425
57,5,euclidean,uniform,0.6888888888888888,0.8421717171717172,0.4666666666666666,0.5923979402240271,0.4232668249687437,0.06327585444442876
64,5,euclidean,uniform,nan,nan,nan,nan,nan,0.06327592222207588
50,5,euclidean,distance,0.7111111111111111,0.8412698412698413,0.5111111111111111,0.6273361635680476,0.45866012171236187,0.06327596333317666
57,5,euclidean,distance,0.7111111111111111,0.8551587301587302,0.5111111111111111,0.631630312789733,0.463551091312671,0.06327603555562544
64,5,euclidean,distance,nan,nan,nan,nan,nan,0.06327610666663128
50,7,euclidean,uniform,0.6666666666666666,0.8412698412698413,0.4222222222222222,0.5606060606060606,0.38798345924097105,0.06327614777773205
57,7,euclidean,uniform,0.6666666666666666,0.8412698412698413,0.4222222222222222,0.5606060606060606,0.38798345924097105,0.06327621999985746
64,7,euclidean,uniform,nan,nan,nan,nan,nan,0.06327629222230624
50,7,euclidean,distance,0.6888888888888888,0.8472222222222222,0.4666666666666666,0.6014492753623188,0.424502532086055,0.06327633222228744
57,7,euclidean,distance,0.6888888888888888,0.8472222222222222,0.4666666666666666,0.6014492753623188,0.424502532086055,0.0632764022221737
64,7,euclidean,distance,nan,nan,nan,nan,nan,0.06327646888870125
50,9,euclidean,uniform,0.6333333333333333,0.8888888888888888,0.3111111111111111,0.4502164502164501,0.3505590947891235,0.06327651222204117
57,9,euclidean,uniform,0.6555555555555556,0.8425925925925926,0.37777777777777777,0.5118288144603934,0.37049663441073616,0.06327658222225081
64,9,euclidean,uniform,nan,nan,nan,nan,nan,0.06327665222213708
50,9,euclidean,distance,0.6666666666666666,0.8888888888888888,0.37777777777777777,0.5255348516218081,0.40563431710738396,0.06327669333323785
57,9,euclidean,distance,0.6888888888888888,0.8703703703703703,0.4444444444444444,0.5850586611456178,0.43335083540517155,0.06327677333320025
64,9,euclidean,distance,nan,nan,nan,nan,nan,0.06327684555564904
