n_estimators,max_depth,learning_rate,accuracy,std_accuracy,precision,std_precision,recall,std_recall,f1,std_f1,mcc,std_mcc,preparationTime
150,5,0.1,0.9548699334543255,0.017586988312746153,0.9527777777777778,0.05800170282728085,0.7555555555555554,0.12957670877434,0.833576097105509,0.07758328547433728,0.821057317178423,0.0737816075271037,0.5303464954857999
200,5,0.1,0.9514216575922564,0.012826878402776864,0.9527777777777778,0.05800170282728085,0.7333333333333333,0.11331154474650632,0.8203408029878618,0.062222287374299357,0.807280984359911,0.05576173832311771,0.5303465284721622
100,7,0.1,0.9514216575922564,0.012826878402776864,0.9527777777777778,0.05800170282728085,0.7333333333333333,0.11331154474650632,0.8203408029878618,0.062222287374299357,0.807280984359911,0.05576173832311771,0.5303465607636705
150,7,0.1,0.9548699334543255,0.017586988312746153,0.9527777777777778,0.05800170282728085,0.7555555555555554,0.12957670877434,0.833576097105509,0.07758328547433728,0.821057317178423,0.0737816075271037,0.5303465940972577
200,7,0.1,0.9514216575922564,0.012826878402776864,0.9527777777777778,0.05800170282728085,0.7333333333333333,0.11331154474650632,0.8203408029878618,0.062222287374299357,0.807280984359911,0.05576173832311771,0.53034662881934
100,10,0.1,0.9514216575922564,0.012826878402776864,0.9527777777777778,0.05800170282728085,0.7333333333333333,0.11331154474650632,0.8203408029878618,0.062222287374299357,0.807280984359911,0.05576173832311771,0.5303466618052981
150,10,0.1,0.9548699334543255,0.017586988312746153,0.9527777777777778,0.05800170282728085,0.7555555555555554,0.12957670877434,0.833576097105509,0.07758328547433728,0.821057317178423,0.0737816075271037,0.5303466961805599
200,10,0.1,0.9514216575922564,0.012826878402776864,0.9527777777777778,0.05800170282728085,0.7333333333333333,0.11331154474650632,0.8203408029878618,0.062222287374299357,0.807280984359911,0.05576173832311771,0.5303467309026423
100,3,0.3,0.9409558378705384,0.008609591565697001,0.9464285714285714,0.0658538889806635,0.6666666666666666,0.07027283689263066,0.7775630252100841,0.039707638572160545,0.7628004396456343,0.03732737071984445,0.5303467635413754
150,3,0.3,0.9409558378705384,0.008609591565697001,0.9464285714285714,0.0658538889806635,0.6666666666666666,0.07027283689263066,0.7775630252100841,0.039707638572160545,0.7628004396456343,0.03732737071984445,0.5303467965277378
200,3,0.3,0.9409558378705384,0.008609591565697001,0.9464285714285714,0.0658538889806635,0.6666666666666666,0.07027283689263066,0.7775630252100841,0.039707638572160545,0.7628004396456343,0.03732737071984445,0.5303468291664709
100,5,0.3,0.9583787053841499,0.008251894268810699,0.9777777777777779,0.04444444444444447,0.7555555555555555,0.08314794192830981,0.8477777777777777,0.03933866881577881,0.8363587664772953,0.035760670418295816,0.5303468611111586
150,5,0.3,0.9583787053841499,0.008251894268810699,0.9777777777777779,0.04444444444444447,0.7555555555555555,0.08314794192830981,0.8477777777777777,0.03933866881577881,0.8363587664772953,0.035760670418295816,0.5303468947915664
200,5,0.3,0.9583787053841499,0.008251894268810699,0.9777777777777779,0.04444444444444447,0.7555555555555555,0.08314794192830981,0.8477777777777777,0.03933866881577881,0.8363587664772953,0.035760670418295816,0.5303469284719742
100,7,0.3,0.9583787053841499,0.008251894268810699,0.9777777777777779,0.04444444444444447,0.7555555555555555,0.08314794192830981,0.8477777777777777,0.03933866881577881,0.8363587664772953,0.035760670418295816,0.530346960069437
150,7,0.3,0.9583787053841499,0.008251894268810699,0.9777777777777779,0.04444444444444447,0.7555555555555555,0.08314794192830981,0.8477777777777777,0.03933866881577881,0.8363587664772953,0.035760670418295816,0.5303469916664957
200,7,0.3,0.9583787053841499,0.008251894268810699,0.9777777777777779,0.04444444444444447,0.7555555555555555,0.08314794192830981,0.8477777777777777,0.03933866881577881,0.8363587664772953,0.035760670418295816,0.5303470256945325
100,10,0.3,0.9583787053841499,0.008251894268810699,0.9777777777777779,0.04444444444444447,0.7555555555555555,0.08314794192830981,0.8477777777777777,0.03933866881577881,0.8363587664772953,0.035760670418295816,0.5303470579860409
150,10,0.3,0.9583787053841499,0.008251894268810699,0.9777777777777779,0.04444444444444447,0.7555555555555555,0.08314794192830981,0.8477777777777777,0.03933866881577881,0.8363587664772953,0.035760670418295816,0.5303470902775492
200,10,0.3,0.9583787053841499,0.008251894268810699,0.9777777777777779,0.04444444444444447,0.7555555555555555,0.08314794192830981,0.8477777777777777,0.03933866881577881,0.8363587664772953,0.035760670418295816,0.5303471222222369
100,3,0.5,0.9548699334543255,0.017586988312746153,0.9636363636363636,0.07272727272727271,0.7555555555555554,0.1632993161855452,0.83109243697479,0.08055313331969731,0.8240424013915074,0.07649257052217,0.5303471541665203
