criterion,max_depth,min_samples_split,min_samples_leaf,max_features,fold,threshold,accuracy,precision,recall,f1,mcc
gini,,2,1,,5,0.5,0.8305084745762712,0.45454545454545453,0.5555555555555556,0.5,0.40209887053248694
gini,,2,1,,5,0.6,0.8305084745762712,0.45454545454545453,0.5555555555555556,0.5,0.40209887053248694
gini,,2,1,,5,0.7000000000000001,0.8305084745762712,0.45454545454545453,0.5555555555555556,0.5,0.40209887053248694
gini,,2,1,,5,0.8,0.8305084745762712,0.45454545454545453,0.5555555555555556,0.5,0.40209887053248694
gini,,2,1,,5,0.9,0.8305084745762712,0.45454545454545453,0.5555555555555556,0.5,0.40209887053248694
gini,,2,1,sqrt,1,0.1,0.8,0.2857142857142857,0.2222222222222222,0.25,0.13812794737179585
gini,,2,1,sqrt,1,0.2,0.8,0.2857142857142857,0.2222222222222222,0.25,0.13812794737179585
gini,,2,1,sqrt,1,0.30000000000000004,0.8,0.2857142857142857,0.2222222222222222,0.25,0.13812794737179585
gini,,2,1,sqrt,1,0.4,0.8,0.2857142857142857,0.2222222222222222,0.25,0.13812794737179585
gini,,2,1,sqrt,1,0.5,0.8,0.2857142857142857,0.2222222222222222,0.25,0.13812794737179585
gini,,2,1,sqrt,1,0.6,0.8,0.2857142857142857,0.2222222222222222,0.25,0.13812794737179585
gini,,2,1,sqrt,1,0.7000000000000001,0.8,0.2857142857142857,0.2222222222222222,0.25,0.13812794737179585
gini,,2,1,sqrt,1,0.8,0.8,0.2857142857142857,0.2222222222222222,0.25,0.13812794737179585
gini,,2,1,sqrt,1,0.9,0.8,0.2857142857142857,0.2222222222222222,0.25,0.13812794737179585
gini,,2,1,sqrt,2,0.1,0.7833333333333333,0.375,0.6666666666666666,0.48,0.3799802978286742
gini,,2,1,sqrt,2,0.2,0.7833333333333333,0.375,0.6666666666666666,0.48,0.3799802978286742
gini,,2,1,sqrt,2,0.30000000000000004,0.7833333333333333,0.375,0.6666666666666666,0.48,0.3799802978286742
gini,,2,1,sqrt,2,0.4,0.7833333333333333,0.375,0.6666666666666666,0.48,0.3799802978286742
gini,,2,1,sqrt,2,0.5,0.7833333333333333,0.375,0.6666666666666666,0.48,0.3799802978286742
