dt__criterion,dt__max_depth,dt__min_samples_split,dt__min_samples_leaf,dt__max_features,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
entropy,10,5,2,sqrt,0.4,0.8072131147540984,0.06332570664650304,0.4313186813186814,0.1837992163041509,0.4288888888888889,0.12110601416389968,0.41761716544325245,0.13082118111410704,0.31174945730744785,0.16765045715919027
entropy,10,5,2,sqrt,0.5,0.8072131147540984,0.06332570664650304,0.4313186813186814,0.1837992163041509,0.4288888888888889,0.12110601416389968,0.41761716544325245,0.13082118111410704,0.31174945730744785,0.16765045715919027
entropy,10,5,2,sqrt,0.6,0.8372131147540983,0.03796555989240515,0.48357142857142854,0.13720050871566306,0.3844444444444445,0.10231879496196747,0.42558823529411766,0.11271173845770975,0.3369649424724271,0.13405612261010905
entropy,10,5,2,sqrt,0.7000000000000001,0.8372131147540983,0.029762865829557558,0.4847619047619047,0.10819064386304912,0.3622222222222222,0.05858411700650697,0.41166666666666674,0.06886984503798128,0.3258383925845656,0.08781347463817107
entropy,10,5,2,sqrt,0.8,0.8372131147540983,0.029762865829557558,0.4847619047619047,0.10819064386304912,0.3622222222222222,0.05858411700650697,0.41166666666666674,0.06886984503798128,0.3258383925845656,0.08781347463817107
entropy,10,5,2,sqrt,0.9,0.8372131147540983,0.029762865829557558,0.4847619047619047,0.10819064386304912,0.3622222222222222,0.05858411700650697,0.41166666666666674,0.06886984503798128,0.3258383925845656,0.08781347463817107
entropy,10,5,5,log2,0.1,0.7608743169398908,0.024174847330501896,0.335936220642103,0.04393197223349335,0.5599999999999999,0.14605934866804426,0.4174284652545522,0.07316094506559365,0.2952506352736052,0.10007034681283059
entropy,10,5,5,log2,0.2,0.7674863387978142,0.01571572729230809,0.3273539695598519,0.028838248417579395,0.47111111111111115,0.1364451682934111,0.38122128062631494,0.055227082301115116,0.2544312007730398,0.0674194088875339
entropy,10,5,5,log2,0.30000000000000004,0.7808196721311476,0.020349597647104915,0.327032967032967,0.04193571310147603,0.4066666666666666,0.14981470036162822,0.3574308300395257,0.08710120912750693,0.23316144970402744,0.09424806300910568
entropy,10,5,5,log2,0.4,0.7907650273224044,0.021407936383808758,0.3471794871794872,0.036783925826521645,0.4066666666666666,0.14981470036162822,0.36787878787878786,0.08644600006626324,0.24974074051902084,0.0910172447566414
entropy,10,5,5,log2,0.5,0.8239344262295083,0.008667276489546528,0.42444444444444446,0.06206328908341754,0.3622222222222222,0.09800478698311087,0.3856432748538011,0.07112301882642036,0.2888048693320926,0.06807590807824075
entropy,10,5,5,log2,0.6,0.8306010928961749,0.013274583907645016,0.44571428571428573,0.05091008480344418,0.32222222222222224,0.11758894715842622,0.36320212295444493,0.08214693441419745,0.2810172710956843,0.06881299811417722
entropy,10,5,5,log2,0.7000000000000001,0.8239890710382515,0.018028025534682076,0.39666666666666667,0.10826921179274478,0.23777777777777778,0.1485734635595269,0.2783130904183536,0.12643264402391866,0.20638257560654188,0.10937641989361632
entropy,10,5,5,log2,0.8,0.8273224043715848,0.017875827919423264,0.4023809523809524,0.10923875949480442,0.21555555555555556,0.11428791884998925,0.2691025641025641,0.11455399032569656,0.20046530384013256,0.10275895132529164
entropy,10,5,5,log2,0.9,0.8306557377049181,0.016920489506888934,0.3333333333333333,0.2041241452319315,0.10444444444444445,0.07097208632298362,0.15303030303030302,0.09222531996080728,0.11246769093820216,0.09640739326872144
entropy,10,5,5,sqrt,0.1,0.774207650273224,0.0353514326428387,0.3629537645017521,0.08356371747786107,0.5777777777777777,0.15634719199411432,0.44079254079254077,0.08998695546353487,0.3265554729650623,0.1162858575023372
entropy,10,5,5,sqrt,0.2,0.7708743169398907,0.028505531392272018,0.344849646397634,0.06935206470565432,0.5155555555555555,0.1946189692961006,0.40318488529014845,0.08459302943772472,0.2858525225589915,0.11105960254623065
entropy,10,5,5,sqrt,0.30000000000000004,0.8204918032786885,0.04026695831025251,0.4381396381396382,0.12327019362670799,0.47111111111111115,0.17596295906514806,0.4456009006473403,0.12338605082639502,0.345578103742597,0.15183133909087454
entropy,10,5,5,sqrt,0.4,0.8204918032786885,0.04026695831025251,0.4381396381396382,0.12327019362670799,0.47111111111111115,0.17596295906514806,0.4456009006473403,0.12338605082639502,0.345578103742597,0.15183133909087454
entropy,10,5,5,sqrt,0.5,0.8338251366120218,0.05671107122994391,0.5082251082251081,0.2157097724867614,0.42666666666666664,0.0822522467703189,0.45633986928104575,0.13434862705103978,0.36626986798713457,0.17547129891844093
entropy,10,5,5,sqrt,0.6,0.8338251366120218,0.05671107122994391,0.5082251082251081,0.2157097724867614,0.42666666666666664,0.0822522467703189,0.45633986928104575,0.13434862705103978,0.36626986798713457,0.17547129891844093
entropy,10,5,5,sqrt,0.7000000000000001,0.8538797814207651,0.039465224648075115,0.5616666666666668,0.17155336066529142,0.36444444444444446,0.12919503869998786,0.4356676003734827,0.1438902490298201,0.37126697715079604,0.16132365106908195
entropy,10,5,5,sqrt,0.8,0.8538797814207651,0.039465224648075115,0.5616666666666668,0.17155336066529142,0.34444444444444444,0.13005222123021806,0.42177871148459384,0.1461648330087009,0.3607308150062281,0.16467808333773667
entropy,10,5,5,sqrt,0.9,0.863879781420765,0.04427764019235797,0.7,0.2981423969999719,0.26,0.1727768845993348,0.3628571428571429,0.207959528593618,0.36063981757445374,0.22620637699360166
entropy,10,10,2,log2,0.1,0.7406557377049181,0.0569157228216848,0.3028039555903333,0.09168246055920708,0.4688888888888889,0.09888264649460886,0.36467992554949075,0.08896817642524456,0.22284594259243326,0.11731466100089068
entropy,10,10,2,log2,0.2,0.7572677595628415,0.04896453873295397,0.3014194577352472,0.08600359978450854,0.4022222222222222,0.13249737942901194,0.3377254901960784,0.08913357698010937,0.2023067688148541,0.10005964244534522
entropy,10,10,2,log2,0.30000000000000004,0.7606010928961748,0.05167489451987883,0.30856231487810437,0.08205800761836175,0.4022222222222222,0.13249737942901194,0.3406666666666667,0.0850580700665534,0.20796295683396968,0.09415131370387494
