learning_rate,max_depth,n_estimators,threshold,accuracy_mean,accuracy_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,mcc_mean,mcc_std
0.01,3,200,0.7000000000000001,0.8628248587570622,0.013501946810750402,1.0,0.0,0.08888888888888888,0.08606629658238703,0.15272727272727274,0.14313078868028659,0.21237330313496378,0.1863065417004946
0.01,3,200,0.8,0.8494915254237287,0.0010526423786578363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,200,0.9,0.8494915254237287,0.0010526423786578363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,3,300,0.1,0.79954802259887,0.07275610048649235,0.4335452488687783,0.09198971681190357,0.8222222222222223,0.09200874124564722,0.5626513094748389,0.09213147818787606,0.49329260683538073,0.11669633191683039
0.01,3,300,0.2,0.8763276836158193,0.029804449693674868,0.6073870573870574,0.11187741664366813,0.6,0.056343616981901073,0.5974896019013667,0.06335340683163086,0.5290844579965276,0.07907472982871475
0.01,3,300,0.30000000000000004,0.8897175141242938,0.023061200969687,0.7785714285714286,0.19894034149769288,0.4222222222222222,0.04600437062282361,0.5384615384615384,0.06661733875264914,0.5157573403363347,0.10184627542491229
0.01,3,300,0.4,0.886271186440678,0.017006159176578488,0.8533333333333334,0.18721009333799035,0.3333333333333333,0.10286889997472792,0.4609124209124209,0.10255066675782681,0.4764124223551028,0.08936483907423422
0.01,3,300,0.5,0.88954802259887,0.01824823773955842,0.9333333333333333,0.1380131118684709,0.31111111111111106,0.1341246360271594,0.4424708624708625,0.15104759437483511,0.48323638796526575,0.11266849203995599
0.01,3,300,0.6,0.8728813559322034,0.02355740581333879,0.9,0.2070196678027063,0.2,0.1341246360271594,0.30153846153846153,0.19642192411714118,0.33273960176767575,0.21077708607895815
0.01,3,300,0.7000000000000001,0.8661581920903955,0.016042540333998986,1.0,0.0,0.1111111111111111,0.10286889997472794,0.18545454545454546,0.1684991740772012,0.23879964827802955,0.20790971702333547
0.01,3,300,0.8,0.8528248587570622,0.00723595638844475,1.0,0.0,0.02222222222222222,0.04600437062282361,0.04000000000000001,0.08280786712108251,0.06198231933063266,0.12831559157468833
0.01,3,300,0.9,0.8494915254237287,0.0010526423786578363,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.01,5,50,0.1,0.15050847457627117,0.0010526423786578374,0.15050847457627117,0.0010526423786578374,1.0,0.0,0.2616368286445013,0.0015883861979747258,0.0,0.0
0.01,5,50,0.2,0.8328813559322034,0.048472092815256156,0.4807575757575757,0.10718895768018062,0.6,0.09200874124564722,0.5250321883139221,0.07893066001126528,0.436849015684051,0.09593536802804142
