eta,max_depth,dim,eps,avgFlakyTrain,avgNonFlakyTrain,avgFlakyTest,avgNonFlakyTest,precision,recall,accuracy,storage,preparationTime,predictionTime
0.1,7,0,0.1,42.3,42.3,4.7,4.7,0.8825,0.7749999999999999,0.8066666666666666,2928897,0.7692080900014842,0.006500470709183223
0.1,7,0,0.3,42.3,42.3,4.7,4.7,0.8391666666666666,0.8149999999999998,0.7955555555555556,379617,0.2817011699909927,0.002955352640507801
0.1,7,0,0.5,42.3,42.3,4.7,4.7,0.7728571428571429,0.77,0.7533333333333332,164544,0.24692756999720586,0.0026849591415440146
0.1,7,100,0.1,42.3,42.3,4.7,4.7,0.7214285714285714,0.7100000000000001,0.7300000000000001,75808,0.2290655700038769,0.002553046865201743
0.1,7,100,0.3,42.3,42.3,4.7,4.7,0.8508333333333333,0.7649999999999999,0.7855555555555556,75808,0.23055229999008592,0.002574090364050403
0.1,7,100,0.5,42.3,42.3,4.7,4.7,0.7252380952380951,0.685,0.6777777777777778,75808,0.23270816999429372,0.00259967386770039
0.1,7,200,0.1,42.3,42.3,4.7,4.7,0.7466666666666666,0.7100000000000001,0.7333333333333332,151008,0.2511235800018767,0.0027534815623897215
0.1,7,200,0.3,42.3,42.3,4.7,4.7,0.7838095238095237,0.71,0.7222222222222221,151008,0.2449346099921968,0.002677700772954646
0.1,7,200,0.5,42.3,42.3,4.7,4.7,0.7383333333333332,0.665,0.7077777777777776,151008,0.2553054500021972,0.0027973445202285874
0.3,3,0,0.1,42.3,42.3,4.7,4.7,0.8289285714285715,0.775,0.7599999999999999,2928897,0.6642193900028361,0.006456587186964087
0.3,3,0,0.3,42.3,42.3,4.7,4.7,0.7875,0.77,0.7433333333333333,379617,0.27045245999033796,0.0029808480399867864
0.3,3,0,0.5,42.3,42.3,4.7,4.7,0.7188095238095238,0.71,0.6888888888888889,164544,0.24297439000220042,0.0027252786665373668
0.3,3,100,0.1,42.3,42.3,4.7,4.7,0.8388095238095238,0.77,0.7833333333333333,75808,0.22304322000127286,0.0025425581133190433
0.3,3,100,0.3,42.3,42.3,4.7,4.7,0.6791666666666667,0.6900000000000001,0.6444444444444444,75808,0.22619641999190207,0.0025666161251426934
0.3,3,100,0.5,42.3,42.3,4.7,4.7,0.7922222222222222,0.7550000000000001,0.7433333333333334,75808,0.22683185000350936,0.002589808059570073
0.3,3,200,0.1,42.3,42.3,4.7,4.7,0.6992857142857142,0.655,0.7077777777777777,151008,0.23443694000307,0.0026435622079355008
0.3,3,200,0.3,42.3,42.3,4.7,4.7,0.7885714285714285,0.7,0.73,151008,0.23501761999650625,0.002649760377908733
0.3,3,200,0.5,42.3,42.3,4.7,4.7,0.7104761904761905,0.645,0.6466666666666666,151008,0.236403530005191,0.0026502657306842104
0.3,5,0,0.1,42.3,42.3,4.7,4.7,0.8186904761904762,0.715,0.74,2928897,0.7154855200089514,0.006976105799472889
0.3,5,0,0.3,42.3,42.3,4.7,4.7,0.8125,0.75,0.7622222222222222,379617,0.26998123999946977,0.002962894044848763
0.3,5,0,0.5,42.3,42.3,4.7,4.7,0.79,0.775,0.731111111111111,164544,0.2372058799955994,0.002659094139034532
0.3,5,100,0.1,42.3,42.3,4.7,4.7,0.7861904761904761,0.7699999999999999,0.7433333333333334,75808,0.22588259000185645,0.002563527298030753
0.3,5,100,0.3,42.3,42.3,4.7,4.7,0.8019841269841269,0.7,0.731111111111111,75808,0.22321049000165658,0.0025318980469966573
0.3,5,100,0.5,42.3,42.3,4.7,4.7,0.7522222222222222,0.6849999999999999,0.7,75808,0.22601132000272628,0.0025537320421801534
0.3,5,200,0.1,42.3,42.3,4.7,4.7,0.7988888888888889,0.7150000000000001,0.74,151008,0.2335063899983652,0.002629865118275296
0.3,5,200,0.3,42.3,42.3,4.7,4.7,0.6900000000000001,0.53,0.6044444444444445,151008,0.2384514000004856,0.0026691925744504763
0.3,5,200,0.5,42.3,42.3,4.7,4.7,0.7192857142857142,0.645,0.6666666666666666,151008,0.23714510000572772,0.002662718903081933
0.3,7,0,0.1,42.3,42.3,4.7,4.7,0.8433333333333335,0.8149999999999998,0.8066666666666666,2928897,0.6857301499883759,0.006389598354200674
0.3,7,0,0.3,42.3,42.3,4.7,4.7,0.7405555555555555,0.725,0.7255555555555555,379617,0.2905710899998667,0.003190955817869033
0.3,7,0,0.5,42.3,42.3,4.7,4.7,0.7708333333333334,0.6900000000000001,0.7244444444444444,164544,0.24255798000522194,0.0026990584133828087
0.3,7,100,0.1,42.3,42.3,4.7,4.7,0.7447619047619047,0.75,0.7411111111111109,75808,0.23515402000193722,0.002669721409066728
0.3,7,100,0.3,42.3,42.3,4.7,4.7,0.7454761904761905,0.725,0.7122222222222222,75808,0.22571318000409524,0.0025501031392973204
0.3,7,100,0.5,42.3,42.3,4.7,4.7,0.7138095238095238,0.685,0.6666666666666666,75808,0.2441860700128018,0.002731698917249566
0.3,7,200,0.1,42.3,42.3,4.7,4.7,0.667142857142857,0.6449999999999999,0.6644444444444445,151008,0.2463355700005195,0.0027496794210714543
0.3,7,200,0.3,42.3,42.3,4.7,4.7,0.8230952380952381,0.65,0.7344444444444445,151008,0.2527962299966021,0.0027781786788250154
0.3,7,200,0.5,42.3,42.3,4.7,4.7,0.6891666666666667,0.645,0.6777777777777778,151008,0.2366535600027419,0.002647946735381107
0.5,3,0,0.1,42.3,42.3,4.7,4.7,0.7988888888888889,0.705,0.7188888888888889,2928897,0.6524911300031817,0.00648643357702641
0.5,3,0,0.3,42.3,42.3,4.7,4.7,0.858095238095238,0.8149999999999998,0.8177777777777777,379617,0.28454115000058666,0.003136371072734627
0.5,3,0,0.5,42.3,42.3,4.7,4.7,0.7133333333333332,0.77,0.7211111111111113,164544,0.2654699600039748,0.0029700810524039044
0.5,3,100,0.1,42.3,42.3,4.7,4.7,0.8630952380952381,0.74,0.7955555555555556,75808,0.2619503299894858,0.002970208922096891
0.5,3,100,0.3,42.3,42.3,4.7,4.7,0.7350000000000001,0.7350000000000001,0.7477777777777778,75808,0.24768360000598477,0.002822544612260161
0.5,3,100,0.5,42.3,42.3,4.7,4.7,0.6122222222222222,0.5900000000000001,0.6244444444444445,75808,0.2664105199975892,0.003040408059241084
0.5,3,200,0.1,42.3,42.3,4.7,4.7,0.7409523809523809,0.755,0.72,151008,0.24984384999115714,0.0028227845528426537
0.5,3,200,0.3,42.3,42.3,4.7,4.7,0.7779761904761905,0.705,0.7122222222222222,151008,0.30905420999333727,0.0034487877447805125
0.5,3,200,0.5,42.3,42.3,4.7,4.7,0.8084126984126984,0.74,0.74,151008,0.28393181000428735,0.0032081683146234505
0.5,5,0,0.1,42.3,42.3,4.7,4.7,0.8216666666666667,0.71,0.7633333333333333,2928897,0.7456164999995962,0.007247155872433684
0.5,5,0,0.3,42.3,42.3,4.7,4.7,0.7191666666666666,0.64,0.6766666666666666,379617,0.3136428999961936,0.0034532860662089384
0.5,5,0,0.5,42.3,42.3,4.7,4.7,0.7636507936507936,0.78,0.7511111111111112,164544,0.28388578999583836,0.003216763016829791
0.5,5,100,0.1,42.3,42.3,4.7,4.7,0.8245238095238095,0.655,0.7133333333333333,75808,0.23940098000457505,0.0027605626576002983
0.5,5,100,0.3,42.3,42.3,4.7,4.7,0.6977380952380952,0.8300000000000001,0.7211111111111111,75808,0.2260631599987392,0.0025779590069628143
0.5,5,100,0.5,42.3,42.3,4.7,4.7,0.8071428571428572,0.6950000000000001,0.731111111111111,75808,0.22411584000219595,0.0025579646168674077
