n_neighbors,weights,metric,threshold,mean_accuracy,mean_precision,mean_recall,mean_f1,mean_mcc
7,uniform,cosine,0.1,0.567868852,0.25119807,0.871111111,0.388096444,0.284031205
15,uniform,euclidean,0.1,0.684371585,0.277057763,0.642222222,0.386497985,0.251865089
9,uniform,cosine,0.4,0.860437158,0.74047619,0.277777778,0.384894321,0.380370569
20,uniform,euclidean,0.2,0.784153005,0.354871795,0.431111111,0.384257027,0.260776927
15,uniform,cosine,0.1,0.581311475,0.248621332,0.826666667,0.381953602,0.264523167
9,distance,euclidean,0.4,0.860491803,0.725714286,0.275555556,0.381757066,0.374284434
20,distance,cosine,0.5,0.877103825,0.92,0.253333333,0.379393939,0.429067912
7,uniform,euclidean,0.3,0.857103825,0.669047619,0.275555556,0.37569646,0.355097276
7,uniform,euclidean,0.4,0.857103825,0.669047619,0.275555556,0.37569646,0.355097276
7,distance,euclidean,0.1,0.684371585,0.269392157,0.624444444,0.373857575,0.240453967
5,distance,cosine,0.7,0.880437158,1,0.233333333,0.371701632,0.445370563
9,uniform,cosine,0.1,0.511530055,0.232537534,0.913333333,0.370112721,0.263933964
9,uniform,euclidean,0.1,0.641092896,0.25409834,0.686666667,0.368943571,0.234716264
11,distance,cosine,0.6,0.877103825,0.933333333,0.231111111,0.36034632,0.419462751
9,distance,euclidean,0.5,0.870437158,0.85,0.233333333,0.359373959,0.39612782
7,uniform,euclidean,0.1,0.661092896,0.2537343,0.624444444,0.35921505,0.216859117
20,uniform,euclidean,0.1,0.621256831,0.240880948,0.684444444,0.355706756,0.213818943
3,distance,euclidean,0.7,0.87715847,1,0.215555556,0.348484848,0.427396064
15,distance,cosine,0.5,0.870437158,0.86,0.231111111,0.347599068,0.388421054
11,uniform,euclidean,0.4,0.86715847,0.84,0.233333333,0.345108225,0.379823588
5,uniform,cosine,0.5,0.863770492,0.566666667,0.253333333,0.344761905,0.319453912
5,uniform,cosine,0.6,0.863770492,0.566666667,0.253333333,0.344761905,0.319453912
15,uniform,cosine,0.4,0.850437158,0.716666667,0.253333333,0.341599453,0.337182174
20,uniform,cosine,0.1,0.448688525,0.209476268,0.913333333,0.340644826,0.216602812
15,distance,euclidean,0.4,0.863770492,0.77,0.231111111,0.33998002,0.356772781
3,distance,cosine,0.9,0.873715847,0.933333333,0.211111111,0.338368298,0.402548948
9,distance,cosine,0.6,0.870491803,0.866666667,0.211111111,0.333240093,0.381146945
7,distance,euclidean,0.5,0.863770492,0.8,0.213333333,0.330802531,0.360178164
7,distance,cosine,0.6,0.86715847,0.833333333,0.211111111,0.328111888,0.36714973
9,uniform,euclidean,0.4,0.850491803,0.697142857,0.233333333,0.325500382,0.319996281
5,uniform,euclidean,0.5,0.860437158,0.8,0.213333333,0.318441558,0.347300243
5,uniform,euclidean,0.6,0.860437158,0.8,0.213333333,0.318441558,0.347300243
7,distance,euclidean,0.6,0.870437158,0.933333333,0.193333333,0.315151515,0.384588486
11,uniform,cosine,0.4,0.857103825,0.75,0.233333333,0.315108225,0.298557972
5,distance,cosine,0.8,0.873825137,1,0.191111111,0.314125874,0.399707002
15,uniform,euclidean,0.4,0.853770492,0.716666667,0.211111111,0.30998002,0.316470235
15,distance,cosine,0.6,0.870437158,0.9,0.188888889,0.308065268,0.372550394
7,distance,cosine,0.7,0.86715847,0.866666667,0.191111111,0.307599068,0.36159459
20,distance,euclidean,0.4,0.860491803,0.733333333,0.191111111,0.3004995,0.322797269
9,uniform,euclidean,0.5,0.863770492,0.85,0.191111111,0.296343656,0.344878246
20,uniform,euclidean,0.3,0.843879781,0.5,0.215555556,0.294385614,0.251614049
9,distance,euclidean,0.6,0.870437158,1,0.171111111,0.288484848,0.380179907
5,distance,euclidean,0.7,0.867103825,0.933333333,0.171111111,0.282424242,0.358162141
7,distance,euclidean,0.7,0.867103825,0.933333333,0.171111111,0.282424242,0.358162141
20,uniform,cosine,0.4,0.857103825,0.814285714,0.208888889,0.280784314,0.289428519
11,distance,euclidean,0.5,0.863825137,0.866666667,0.171111111,0.277296037,0.336771361
20,uniform,cosine,0.3,0.83715847,0.395,0.228888889,0.275840761,0.215452371
9,uniform,cosine,0.5,0.857103825,0.736666667,0.191111111,0.274925075,0.268795619
7,uniform,euclidean,0.5,0.857103825,0.766666667,0.171111111,0.271701632,0.306462242
20,uniform,cosine,0.5,0.863770492,0.92,0.168888889,0.259047619,0.304181866
3,distance,euclidean,0.8,0.86715847,1,0.151111111,0.258181818,0.355331418
7,uniform,cosine,0.5,0.850491803,0.703333333,0.171111111,0.255824176,0.273680212
9,distance,cosine,0.7,0.86715847,1,0.148888889,0.255757576,0.353728302
11,distance,cosine,0.7,0.86715847,1,0.148888889,0.255757576,0.353728302
11,distance,euclidean,0.6,0.863770492,0.933333333,0.148888889,0.24969697,0.331735796
7,uniform,euclidean,0.6,0.863770492,0.933333333,0.151111111,0.246060606,0.29993989
7,uniform,euclidean,0.7,0.863770492,0.933333333,0.151111111,0.246060606,0.29993989
20,uniform,euclidean,0.4,0.853825137,0.7,0.148888889,0.241398601,0.269081346
20,distance,cosine,0.6,0.863825137,1,0.128888889,0.225454545,0.328905073
11,uniform,cosine,0.5,0.853825137,0.753333333,0.148888889,0.220586081,0.232963799
9,uniform,euclidean,0.6,0.863770492,1,0.128888889,0.219393939,0.295531311
3,distance,euclidean,0.9,0.863825137,1,0.128888889,0.218181818,0.293349099
5,distance,euclidean,0.8,0.863825137,1,0.128888889,0.218181818,0.293349099
9,distance,euclidean,0.7,0.863770492,1,0.126666667,0.215757576,0.291771242
15,distance,euclidean,0.5,0.85715847,0.833333333,0.126666667,0.214265734,0.280357685
11,uniform,euclidean,0.5,0.85715847,0.866666667,0.128888889,0.208205128,0.252122765
5,uniform,euclidean,0.7,0.860437158,0.933333333,0.128888889,0.206060606,0.237957571
5,uniform,euclidean,0.8,0.860437158,0.933333333,0.128888889,0.206060606,0.237957571
15,uniform,cosine,0.5,0.853770492,0.8,0.126666667,0.201538462,0.230752202
7,distance,cosine,0.8,0.860491803,1,0.106666667,0.192727273,0.302478728
11,distance,euclidean,0.7,0.860437158,1,0.106666667,0.186666667,0.269104966
15,distance,euclidean,0.6,0.857103825,0.9,0.106666667,0.183030303,0.243526214
3,uniform,euclidean,0.7,0.860491803,1,0.108888889,0.181818182,0.235126848
3,uniform,euclidean,0.8,0.860491803,1,0.108888889,0.181818182,0.235126848
3,uniform,euclidean,0.9,0.860491803,1,0.108888889,0.181818182,0.235126848
7,uniform,euclidean,0.8,0.860437158,1,0.106666667,0.179393939,0.233548991
7,distance,euclidean,0.8,0.860437158,1,0.106666667,0.179393939,0.233548991
15,uniform,euclidean,0.5,0.853825137,0.833333333,0.106666667,0.177902098,0.222135434
11,uniform,euclidean,0.6,0.857103825,0.933333333,0.106666667,0.173333333,0.211531225
5,distance,cosine,0.9,0.85715847,1,0.084444444,0.152727273,0.240496409
7,distance,cosine,0.9,0.85715847,1,0.084444444,0.152727273,0.240496409
9,distance,cosine,0.8,0.85715847,1,0.084444444,0.152727273,0.240496409
9,distance,cosine,0.9,0.85715847,1,0.084444444,0.152727273,0.240496409
11,distance,cosine,0.8,0.85715847,1,0.084444444,0.152727273,0.240496409
11,distance,cosine,0.9,0.85715847,1,0.084444444,0.152727273,0.240496409
15,distance,cosine,0.7,0.85715847,1,0.084444444,0.152727273,0.240496409
15,distance,cosine,0.8,0.85715847,1,0.084444444,0.152727273,0.240496409
15,distance,cosine,0.9,0.85715847,1,0.084444444,0.152727273,0.240496409
20,distance,cosine,0.7,0.85715847,1,0.084444444,0.152727273,0.240496409
20,distance,cosine,0.8,0.85715847,1,0.084444444,0.152727273,0.240496409
20,distance,cosine,0.9,0.85715847,1,0.084444444,0.152727273,0.240496409
5,uniform,euclidean,0.9,0.85715847,1,0.086666667,0.149090909,0.208700503
5,distance,euclidean,0.9,0.85715847,1,0.086666667,0.149090909,0.208700503
11,uniform,euclidean,0.7,0.857103825,1,0.084444444,0.146666667,0.207122646
3,uniform,cosine,0.7,0.853770492,0.9,0.084444444,0.143030303,0.181543895
3,uniform,cosine,0.8,0.853770492,0.9,0.084444444,0.143030303,0.181543895
3,uniform,cosine,0.9,0.853770492,0.9,0.084444444,0.143030303,0.181543895
15,uniform,cosine,0.6,0.853770492,0.9,0.084444444,0.143030303,0.181543895
15,uniform,euclidean,0.6,0.853770492,0.9,0.084444444,0.143030303,0.181543895
9,uniform,euclidean,0.7,0.857103825,1,0.084444444,0.139393939,0.171566672
20,distance,euclidean,0.5,0.850491803,0.833333333,0.084444444,0.137902098,0.160153115
7,uniform,cosine,0.6,0.84715847,0.833333333,0.084444444,0.123076923,0.114160911
7,uniform,cosine,0.7,0.84715847,0.833333333,0.084444444,0.123076923,0.114160911
9,uniform,cosine,0.6,0.843879781,0.6,0.064444444,0.10969697,0.120167695
11,uniform,cosine,0.6,0.84715847,0.8,0.062222222,0.106060606,0.127931279
5,uniform,cosine,0.7,0.853879781,1,0.066666667,0.1,0.109223736
5,uniform,cosine,0.8,0.853879781,1,0.066666667,0.1,0.109223736
20,uniform,euclidean,0.5,0.84715847,0.833333333,0.062222222,0.097902098,0.098170796
7,distance,euclidean,0.9,0.850491803,1,0.042222222,0.076363636,0.120291838
9,uniform,cosine,0.7,0.850491803,1,0.042222222,0.076363636,0.120291838
9,distance,euclidean,0.8,0.850491803,1,0.042222222,0.076363636,0.120291838
